Delta_mean,Delta_median,Delta_std,Delta_min,Delta_max,Theta_mean,Theta_median,Theta_std,Theta_min,Theta_max,Alpha_mean,Alpha_median,Alpha_std,Alpha_min,Alpha_max,Beta_mean,Beta_median,Beta_std,Beta_min,Beta_max,Gamma_mean,Gamma_median,Gamma_std,Gamma_min,Gamma_max,Delta_TP9_trend,Delta_AF7_trend,Delta_AF8_trend,Delta_TP10_trend,Theta_TP9_trend,Theta_AF7_trend,Theta_AF8_trend,Theta_TP10_trend,Alpha_TP9_trend,Alpha_AF7_trend,Alpha_AF8_trend,Alpha_TP10_trend,Beta_TP9_trend,Beta_AF7_trend,Beta_AF8_trend,Beta_TP10_trend,Gamma_TP9_trend,Gamma_AF7_trend,Gamma_AF8_trend,Gamma_TP10_trend,RAW_TP9_trend,RAW_AF7_trend,RAW_AF8_trend,RAW_TP10_trend,AUX_RIGHT_trend,Accelerometer_X_trend,Accelerometer_Y_trend,Accelerometer_Z_trend,Gyro_X_trend,Gyro_Y_trend,Gyro_Z_trend,HeadBandOn_trend,HSI_TP9_trend,HSI_AF7_trend,HSI_AF8_trend,HSI_TP10_trend,Battery_trend,Result_trend,Delta_TP9_correlation,Theta_TP9_correlation,Alpha_TP9_correlation,Beta_TP9_correlation,Gamma_TP9_correlation,Delta_AF7_correlation,Theta_AF7_correlation,Alpha_AF7_correlation,Beta_AF7_correlation,Gamma_AF7_correlation,Delta_AF8_correlation,Theta_AF8_correlation,Alpha_AF8_correlation,Beta_AF8_correlation,Gamma_AF8_correlation,Delta_TP10_correlation,Theta_TP10_correlation,Alpha_TP10_correlation,Beta_TP10_correlation,Gamma_TP10_correlation
0.793595962,1.1842382,0.451619378,0.20565924,1.1842382,0.435503021,0.8102018,0.441926681,-0.15277945,0.8102018,0.918352142,1.1674653,0.286506425,0.13968989,1.1674653,0.601777298,0.6979038,0.113668609,0.34427023,0.6979038,-0.035841329,-0.009481179,0.031862741,-0.078072056,-0.009481179,-0.15270661,-0.011468072,-0.034282288,-0.058583386,-0.143395931,0.015529223,-0.085095565,-0.100148112,-0.106913638,0.004854102,-0.107467555,-0.050203583,-0.04440011,-0.004766982,-0.018981406,-0.010539849,-0.009909153,-0.034731687,-0.022995018,0.028156256,0.085933823,0.248341667,-0.4150046,-0.112219725,0.052494417,-0.046815985,-0.002177565,0.00170431,0.330835125,0.73563685,-1.513912242,0,-0.094079403,0,0,-0.094079403,-1.847236922,1,10.65610527,10.3249373,11.32085394,11.33251324,10.05815038,4.320408238,-0.063039221,4.083802621,1.532177702,5.25264986,2.778286127,8.354216404,10.13907715,9.736113601,5.358080682,10.24577306,11.72858417,10.24624413,2.766584261,-11.75524616
0.812508508,0.86842346,0.293112271,-0.43673292,1.2656679,0.148310727,0.14224894,0.150087589,-0.25123456,0.45160404,0.149534118,0.19791678,0.120261474,-0.093036145,0.31401795,-0.020446856,-0.04310413,0.091968653,-0.262633,0.1525778,-0.221298883,-0.18809995,0.119778642,-0.4902195,-0.059999052,-0.15270661,-0.011468072,-0.034282288,-0.058583386,-0.143395931,0.015529223,-0.085095565,-0.100148112,-0.106913638,0.004854102,-0.107467555,-0.050203583,-0.04440011,-0.004766982,-0.018981406,-0.010539849,-0.009909153,-0.034731687,-0.022995018,0.028156256,0.085933823,0.248341667,-0.4150046,-0.112219725,0.052494417,-0.046815985,-0.002177565,0.00170431,0.330835125,0.73563685,-1.513912242,0,-0.094079403,0,0,-0.094079403,-1.847236922,1,10.65610527,10.3249373,11.32085394,11.33251324,10.05815038,4.320408238,-0.063039221,4.083802621,1.532177702,5.25264986,2.778286127,8.354216404,10.13907715,9.736113601,5.358080682,10.24577306,11.72858417,10.24624413,2.766584261,-11.75524616
0.962680701,1.0068966,0.352977029,0.17184743,1.5321906,0.647209953,0.7211954,0.428849646,-0.3045007,1.1779503,0.342319861,0.27063346,0.277053807,-0.16917242,0.7635771,-0.043703091,-0.050925657,0.057865923,-0.2658472,0.07765089,-0.285748318,-0.264762,0.1128,-0.52764034,-0.13189048,-0.15270661,-0.011468072,-0.034282288,-0.058583386,-0.143395931,0.015529223,-0.085095565,-0.100148112,-0.106913638,0.004854102,-0.107467555,-0.050203583,-0.04440011,-0.004766982,-0.018981406,-0.010539849,-0.009909153,-0.034731687,-0.022995018,0.028156256,0.085933823,0.248341667,-0.4150046,-0.112219725,0.052494417,-0.046815985,-0.002177565,0.00170431,0.330835125,0.73563685,-1.513912242,0,-0.094079403,0,0,-0.094079403,-1.847236922,1,10.65610527,10.3249373,11.32085394,11.33251324,10.05815038,4.320408238,-0.063039221,4.083802621,1.532177702,5.25264986,2.778286127,8.354216404,10.13907715,9.736113601,5.358080682,10.24577306,11.72858417,10.24624413,2.766584261,-11.75524616
0.813169057,0.93307525,0.146341122,0.4806404,0.93307525,0.617086797,0.85508585,0.260079447,0.20339744,0.85508585,0.651833909,0.7828672,0.154356998,0.3198935,0.7828672,0.435846692,0.4878294,0.132807689,0.26850557,0.8333638,-0.395641565,-0.45516127,0.088006048,-0.45516127,-0.13973744,-0.15270661,-0.011468072,-0.034282288,-0.058583386,-0.143395931,0.015529223,-0.085095565,-0.100148112,-0.106913638,0.004854102,-0.107467555,-0.050203583,-0.04440011,-0.004766982,-0.018981406,-0.010539849,-0.009909153,-0.034731687,-0.022995018,0.028156256,0.085933823,0.248341667,-0.4150046,-0.112219725,0.052494417,-0.046815985,-0.002177565,0.00170431,0.330835125,0.73563685,-1.513912242,0,-0.094079403,0,0,-0.094079403,-1.847236922,1,10.65610527,10.3249373,11.32085394,11.33251324,10.05815038,4.320408238,-0.063039221,4.083802621,1.532177702,5.25264986,2.778286127,8.354216404,10.13907715,9.736113601,5.358080682,10.24577306,11.72858417,10.24624413,2.766584261,-11.75524616
0.547582033,0.5737131,0.106913918,0.27751854,0.7256535,0.457867958,0.44277695,0.228508801,0.11598746,0.81540775,0.71103199,0.6219132,0.224320441,0.38469633,1.1016886,0.449002182,0.43638253,0.087021798,0.2930899,0.6352404,-0.035053725,-0.08340349,0.141815294,-0.26090723,0.22637725,-0.017102866,0.023022796,-0.07254475,-0.057712274,-0.047101779,0.000462811,-0.003128985,-0.050078157,0.049491222,-0.005918206,0.026924439,0.008825582,0.019389316,0.000342283,0.03935841,0.015636718,0.037014366,0.011281212,0.012028109,-0.016634775,0.780790164,0.189541601,0.190631253,0.808142306,-0.646469448,-0.003794986,-0.004142982,-0.000668958,0.015927691,0.097923168,-0.074524469,0,0,0,0,0,0.769481701,1,4.464214495,2.000949823,-2.445242361,6.31790492,-1.341784546,6.218259975,6.680357243,-3.084713148,5.32395481,1.986765717,5.447654214,5.805188669,6.986742402,4.919704509,2.958070711,5.04060913,3.516299925,3.8788136,2.356610016,-0.29930206
-0.073679779,-0.09887431,0.19328225,-0.3775635,0.21753567,0.011395879,-0.035378806,0.221019407,-0.27763748,0.33862418,0.213917514,0.22353168,0.137478708,-0.06298859,0.4205981,-0.011730128,-0.016804112,0.052034481,-0.09018833,0.09801996,-0.43479375,-0.43308136,0.068391928,-0.56743103,-0.3145693,-0.017102866,0.023022796,-0.07254475,-0.057712274,-0.047101779,0.000462811,-0.003128985,-0.050078157,0.049491222,-0.005918206,0.026924439,0.008825582,0.019389316,0.000342283,0.03935841,0.015636718,0.037014366,0.011281212,0.012028109,-0.016634775,0.780790164,0.189541601,0.190631253,0.808142306,-0.646469448,-0.003794986,-0.004142982,-0.000668958,0.015927691,0.097923168,-0.074524469,0,0,0,0,0,0.769481701,1,4.464214495,2.000949823,-2.445242361,6.31790492,-1.341784546,6.218259975,6.680357243,-3.084713148,5.32395481,1.986765717,5.447654214,5.805188669,6.986742402,4.919704509,2.958070711,5.04060913,3.516299925,3.8788136,2.356610016,-0.29930206
0.016639929,0.066476226,0.344592052,-0.7815316,0.5325973,-0.00981341,-0.01372277,0.202470744,-0.621893,0.30813885,0.2898032,0.28096935,0.212857426,0.00974019,0.6533318,-0.080835755,-0.11130125,0.155214319,-0.30746424,0.20546898,-0.588695083,-0.61123043,0.084850644,-0.7216119,-0.4401517,-0.017102866,0.023022796,-0.07254475,-0.057712274,-0.047101779,0.000462811,-0.003128985,-0.050078157,0.049491222,-0.005918206,0.026924439,0.008825582,0.019389316,0.000342283,0.03935841,0.015636718,0.037014366,0.011281212,0.012028109,-0.016634775,0.780790164,0.189541601,0.190631253,0.808142306,-0.646469448,-0.003794986,-0.004142982,-0.000668958,0.015927691,0.097923168,-0.074524469,0,0,0,0,0,0.769481701,1,4.464214495,2.000949823,-2.445242361,6.31790492,-1.341784546,6.218259975,6.680357243,-3.084713148,5.32395481,1.986765717,5.447654214,5.805188669,6.986742402,4.919704509,2.958070711,5.04060913,3.516299925,3.8788136,2.356610016,-0.29930206
0.677729698,0.5880503,0.388694411,-0.023091702,1.3922098,0.565568683,0.46796274,0.308606874,0.09408594,1.0414582,0.903568282,0.9195305,0.152814622,0.21987513,1.1102047,0.451121451,0.47517395,0.109973017,0.2489889,0.6239931,-0.211738387,-0.20139478,0.087797824,-0.34850556,-0.051511735,-0.017102866,0.023022796,-0.07254475,-0.057712274,-0.047101779,0.000462811,-0.003128985,-0.050078157,0.049491222,-0.005918206,0.026924439,0.008825582,0.019389316,0.000342283,0.03935841,0.015636718,0.037014366,0.011281212,0.012028109,-0.016634775,0.780790164,0.189541601,0.190631253,0.808142306,-0.646469448,-0.003794986,-0.004142982,-0.000668958,0.015927691,0.097923168,-0.074524469,0,0,0,0,0,0.769481701,1,4.464214495,2.000949823,-2.445242361,6.31790492,-1.341784546,6.218259975,6.680357243,-3.084713148,5.32395481,1.986765717,5.447654214,5.805188669,6.986742402,4.919704509,2.958070711,5.04060913,3.516299925,3.8788136,2.356610016,-0.29930206
0.459881995,0.5069926,0.171984599,0.11065557,0.7021425,0.414509391,0.42134646,0.113570299,0.16379055,0.6112575,0.715163919,0.68575275,0.179966115,0.38469633,1.0978447,0.446703929,0.46245453,0.112664457,0.24976024,0.6793759,-0.103315168,-0.11387564,0.112056673,-0.36768463,0.03765698,0.04673435,-0.021968683,0.021695397,-0.008994728,0.041778062,-0.006619944,0.042529677,0.070971566,0.066183826,-0.001342312,0.043088696,0.025335471,0.042882095,0.011921009,0.03600918,0.029655541,-0.026416518,-0.055788417,0.009157661,-0.012209404,-0.362565011,-0.249030325,-0.345000883,-0.332871766,-0.616927825,0.005156364,-0.006777254,0.001024356,-0.008192838,-0.027163813,0.136100884,0,0,0,0,0,0,1,3.243606926,3.627708409,3.515440411,6.144772723,-2.841500212,2.589700011,1.5301733,3.279935924,2.913245984,-3.642059893,2.675297185,2.524823964,3.987354223,5.933920863,5.833020858,0.756828466,5.13472455,4.712432181,6.267751744,-4.170993348
-0.098604705,-0.17296405,0.293112417,-0.5547385,0.42021424,-0.090811476,-0.13509326,0.130080372,-0.2598159,0.18902186,0.181213592,0.1646422,0.116943982,-0.07101697,0.3963215,-0.046348309,-0.027599351,0.066545677,-0.17682381,0.06854293,-0.498710977,-0.45892102,0.171252403,-0.8526207,-0.26141596,0.04673435,-0.021968683,0.021695397,-0.008994728,0.041778062,-0.006619944,0.042529677,0.070971566,0.066183826,-0.001342312,0.043088696,0.025335471,0.042882095,0.011921009,0.03600918,0.029655541,-0.026416518,-0.055788417,0.009157661,-0.012209404,-0.362565011,-0.249030325,-0.345000883,-0.332871766,-0.616927825,0.005156364,-0.006777254,0.001024356,-0.008192838,-0.027163813,0.136100884,0,0,0,0,0,0,1,3.243606926,3.627708409,3.515440411,6.144772723,-2.841500212,2.589700011,1.5301733,3.279935924,2.913245984,-3.642059893,2.675297185,2.524823964,3.987354223,5.933920863,5.833020858,0.756828466,5.13472455,4.712432181,6.267751744,-4.170993348
