Delta_mean,Delta_median,Delta_std,Delta_min,Delta_max,Theta_mean,Theta_median,Theta_std,Theta_min,Theta_max,Alpha_mean,Alpha_median,Alpha_std,Alpha_min,Alpha_max,Beta_mean,Beta_median,Beta_std,Beta_min,Beta_max,Gamma_mean,Gamma_median,Gamma_std,Gamma_min,Gamma_max,Delta_TP9_trend,Delta_AF7_trend,Delta_AF8_trend,Delta_TP10_trend,Theta_TP9_trend,Theta_AF7_trend,Theta_AF8_trend,Theta_TP10_trend,Alpha_TP9_trend,Alpha_AF7_trend,Alpha_AF8_trend,Alpha_TP10_trend,Beta_TP9_trend,Beta_AF7_trend,Beta_AF8_trend,Beta_TP10_trend,Gamma_TP9_trend,Gamma_AF7_trend,Gamma_AF8_trend,Gamma_TP10_trend,RAW_TP9_trend,RAW_AF7_trend,RAW_AF8_trend,RAW_TP10_trend,AUX_RIGHT_trend,Accelerometer_X_trend,Accelerometer_Y_trend,Accelerometer_Z_trend,Gyro_X_trend,Gyro_Y_trend,Gyro_Z_trend,HeadBandOn_trend,HSI_TP9_trend,HSI_AF7_trend,HSI_AF8_trend,HSI_TP10_trend,Battery_trend,Result_trend,Delta_TP9_correlation,Theta_TP9_correlation,Alpha_TP9_correlation,Beta_TP9_correlation,Gamma_TP9_correlation,Delta_AF7_correlation,Theta_AF7_correlation,Alpha_AF7_correlation,Beta_AF7_correlation,Gamma_AF7_correlation,Delta_AF8_correlation,Theta_AF8_correlation,Alpha_AF8_correlation,Beta_AF8_correlation,Gamma_AF8_correlation,Delta_TP10_correlation,Theta_TP10_correlation,Alpha_TP10_correlation,Beta_TP10_correlation,Gamma_TP10_correlation
0.378802018,0.3446286,0.123284328,0.20866455,0.6157321,0.706180818,0.8217216,0.303507884,0.108077645,1.1098129,0.508355494,0.49982128,0.173599713,0.14463365,0.74039686,0.2136695,0.20698464,0.110971359,0.040783104,0.45466882,-0.292925584,-0.3200051,0.073498198,-0.40074632,-0.13877349,0.023351514,-0.130037006,-0.090503612,-0.02176443,-0.053360012,-0.059405607,0.008446027,0.007972691,-0.02482925,-0.07412702,-0.029099121,0.020695982,-0.038581745,-0.010058051,-0.024373963,0.028675109,0.003949752,-0.022569851,-0.010182528,-0.013259614,1.330683318,-0.245615235,0.268460526,1.648419746,0.40916422,-0.045060608,-0.016430082,0.000708308,0.367468197,-1.176341501,0.159488328,0,0,0,0,0,0,1,-5.275410374,6.944062825,2.887944954,5.429940501,-2.854758531,6.444596198,6.874975474,4.231990425,0.959916764,3.660083503,6.733029097,3.906274144,4.349928265,6.94766088,3.604221869,0.626355605,3.954999357,-1.897882183,-7.972656314,5.748695713
0.099958693,-0.039753385,0.317819921,-0.29926696,0.7655007,0.444348942,0.5913767,0.319203096,-0.20130378,0.8196338,0.332871968,0.34195948,0.204676251,-0.05266204,0.70486,0.461484968,0.5019057,0.083523034,0.3030019,0.57019955,-0.042436102,-0.033668544,0.071999687,-0.20550212,0.09717276,0.023351514,-0.130037006,-0.090503612,-0.02176443,-0.053360012,-0.059405607,0.008446027,0.007972691,-0.02482925,-0.07412702,-0.029099121,0.020695982,-0.038581745,-0.010058051,-0.024373963,0.028675109,0.003949752,-0.022569851,-0.010182528,-0.013259614,1.330683318,-0.245615235,0.268460526,1.648419746,0.40916422,-0.045060608,-0.016430082,0.000708308,0.367468197,-1.176341501,0.159488328,0,0,0,0,0,0,1,-5.275410374,6.944062825,2.887944954,5.429940501,-2.854758531,6.444596198,6.874975474,4.231990425,0.959916764,3.660083503,6.733029097,3.906274144,4.349928265,6.94766088,3.604221869,0.626355605,3.954999357,-1.897882183,-7.972656314,5.748695713
-0.019667635,-0.01933886,0.259638879,-0.3843552,0.41642597,0.494497917,0.4870891,0.189493509,0.18619616,0.94287807,0.447928579,0.44952452,0.196060176,0.1261493,0.77283615,-0.106076318,-0.09628165,0.082609798,-0.26729745,0.01124914,-0.612611911,-0.6192748,0.052436079,-0.7033671,-0.50212115,0.023351514,-0.130037006,-0.090503612,-0.02176443,-0.053360012,-0.059405607,0.008446027,0.007972691,-0.02482925,-0.07412702,-0.029099121,0.020695982,-0.038581745,-0.010058051,-0.024373963,0.028675109,0.003949752,-0.022569851,-0.010182528,-0.013259614,1.330683318,-0.245615235,0.268460526,1.648419746,0.40916422,-0.045060608,-0.016430082,0.000708308,0.367468197,-1.176341501,0.159488328,0,0,0,0,0,0,1,-5.275410374,6.944062825,2.887944954,5.429940501,-2.854758531,6.444596198,6.874975474,4.231990425,0.959916764,3.660083503,6.733029097,3.906274144,4.349928265,6.94766088,3.604221869,0.626355605,3.954999357,-1.897882183,-7.972656314,5.748695713
0.412731314,0.44081396,0.238814834,-0.04784095,0.88293165,0.797838348,0.7834345,0.209652522,0.44955617,1.2118767,0.753820834,0.7217026,0.188135884,0.499398,1.0592682,0.575259822,0.56597364,0.116113217,0.41114423,0.8180508,-0.014022106,-0.007196329,0.072622105,-0.156141,0.17532942,0.023351514,-0.130037006,-0.090503612,-0.02176443,-0.053360012,-0.059405607,0.008446027,0.007972691,-0.02482925,-0.07412702,-0.029099121,0.020695982,-0.038581745,-0.010058051,-0.024373963,0.028675109,0.003949752,-0.022569851,-0.010182528,-0.013259614,1.330683318,-0.245615235,0.268460526,1.648419746,0.40916422,-0.045060608,-0.016430082,0.000708308,0.367468197,-1.176341501,0.159488328,0,0,0,0,0,0,1,-5.275410374,6.944062825,2.887944954,5.429940501,-2.854758531,6.444596198,6.874975474,4.231990425,0.959916764,3.660083503,6.733029097,3.906274144,4.349928265,6.94766088,3.604221869,0.626355605,3.954999357,-1.897882183,-7.972656314,5.748695713
0.356084679,0.3392007,0.198406779,-0.011066671,0.6757692,0.275413085,0.19802202,0.235823327,0.12412328,1.0218799,0.653333087,0.6318631,0.203004374,0.29491082,1.0416003,0.43565922,0.4084036,0.126827322,0.25253284,0.7002186,-0.340297817,-0.318146,0.082753454,-0.5006144,-0.20945503,0.00567805,0.051593841,0.029521995,0.010355883,-0.061093488,-0.036054276,-0.038487163,-0.052985987,0.074255072,0.058514378,0.076469091,0.083932224,0.030800616,0.008260054,0.042572918,0.011808525,0.012588333,-0.022716303,-0.026117508,-0.010459811,0.076731509,0.016028537,-0.163563591,-0.049044372,0.124740332,0.001360713,0.000294074,0.000124852,0.005891157,0.010072972,-0.004715886,0,0,0,0,0,0,1,-4.092346154,-0.08305883,4.411053125,5.769485964,5.790970889,5.611402377,1.69705555,4.656668867,5.255720814,-5.853102843,7.109828754,2.431902604,6.86058928,4.238419829,-1.113834263,0.288328739,2.960184341,7.063802212,5.022223449,-0.614766819
-0.164000859,-0.23982793,0.173665564,-0.42627084,0.20865431,0.103040132,0.044847902,0.227171987,-0.13645652,0.8196338,0.413655599,0.4422269,0.196607414,0.119064234,0.7459635,0.477897604,0.46513775,0.051487324,0.38939688,0.5802316,-0.077336354,-0.10224252,0.094917863,-0.20828687,0.14711572,0.00567805,0.051593841,0.029521995,0.010355883,-0.061093488,-0.036054276,-0.038487163,-0.052985987,0.074255072,0.058514378,0.076469091,0.083932224,0.030800616,0.008260054,0.042572918,0.011808525,0.012588333,-0.022716303,-0.026117508,-0.010459811,0.076731509,0.016028537,-0.163563591,-0.049044372,0.124740332,0.001360713,0.000294074,0.000124852,0.005891157,0.010072972,-0.004715886,0,0,0,0,0,0,1,-4.092346154,-0.08305883,4.411053125,5.769485964,5.790970889,5.611402377,1.69705555,4.656668867,5.255720814,-5.853102843,7.109828754,2.431902604,6.86058928,4.238419829,-1.113834263,0.288328739,2.960184341,7.063802212,5.022223449,-0.614766819
-0.147642136,-0.15704088,0.122552036,-0.36854842,0.07499745,0.131947753,0.028161647,0.298553794,-0.22960499,0.94287807,0.327510743,0.20100999,0.285442344,0.021551667,0.8594856,-0.093394784,-0.14105092,0.115739595,-0.2509693,0.091635585,-0.604636863,-0.60906285,0.075245384,-0.7377777,-0.47651085,0.00567805,0.051593841,0.029521995,0.010355883,-0.061093488,-0.036054276,-0.038487163,-0.052985987,0.074255072,0.058514378,0.076469091,0.083932224,0.030800616,0.008260054,0.042572918,0.011808525,0.012588333,-0.022716303,-0.026117508,-0.010459811,0.076731509,0.016028537,-0.163563591,-0.049044372,0.124740332,0.001360713,0.000294074,0.000124852,0.005891157,0.010072972,-0.004715886,0,0,0,0,0,0,1,-4.092346154,-0.08305883,4.411053125,5.769485964,5.790970889,5.611402377,1.69705555,4.656668867,5.255720814,-5.853102843,7.109828754,2.431902604,6.86058928,4.238419829,-1.113834263,0.288328739,2.960184341,7.063802212,5.022223449,-0.614766819
0.459087308,0.4148985,0.160644209,0.2024941,0.8122221,0.456564484,0.47758773,0.312954542,-0.07712264,1.20938,0.850579462,0.75004023,0.307617969,0.5181394,1.4169847,0.581946555,0.59099984,0.09566195,0.40390483,0.7314148,-0.005569776,0.005199452,0.050618726,-0.109351516,0.084930144,0.00567805,0.051593841,0.029521995,0.010355883,-0.061093488,-0.036054276,-0.038487163,-0.052985987,0.074255072,0.058514378,0.076469091,0.083932224,0.030800616,0.008260054,0.042572918,0.011808525,0.012588333,-0.022716303,-0.026117508,-0.010459811,0.076731509,0.016028537,-0.163563591,-0.049044372,0.124740332,0.001360713,0.000294074,0.000124852,0.005891157,0.010072972,-0.004715886,0,0,0,0,0,0,1,-4.092346154,-0.08305883,4.411053125,5.769485964,5.790970889,5.611402377,1.69705555,4.656668867,5.255720814,-5.853102843,7.109828754,2.431902604,6.86058928,4.238419829,-1.113834263,0.288328739,2.960184341,7.063802212,5.022223449,-0.614766819
0.305300175,0.2996137,0.20539457,-0.062490497,0.6262894,0.409909384,0.43438798,0.122072226,0.12412328,0.5608832,0.897123018,0.9850659,0.382659852,0.22009377,1.3591135,0.397284732,0.39401865,0.16708257,0.07063776,0.7002186,-0.353754086,-0.34812352,0.050692393,-0.4597037,-0.22763933,0.073493778,-0.003163547,0.063317841,0.021691869,0.00568946,0.01123546,-0.007433261,-0.010771541,0.09942835,0.036830863,0.021977676,0.098347971,0.031322205,0.002551746,0.006828969,0.037189992,-0.00578926,0.005841243,0.0283466,-0.015031449,0.087641414,-0.039492176,0.049350516,0.007668276,-0.246208646,0.000128067,-0.000843449,0.000139917,-0.033637936,0.007114848,-0.110181446,0,0,0,0,0,0,1,5.081590562,3.494944753,5.51641328,5.063691497,2.304714254,6.058292419,7.336694109,7.627454652,4.598127357,-1.341157939,5.061150026,-3.205712786,6.426675259,5.871329136,1.63445701,5.68884233,0.701884974,5.704427201,6.990110599,-1.708064559
-0.135955387,-0.16592187,0.205464708,-0.4706405,0.24355574,0.151960437,0.16205478,0.155738536,-0.26096177,0.41720065,0.553939552,0.561166,0.208720378,0.06353819,0.87299865,0.449606083,0.45695266,0.063298576,0.3001523,0.5631758,-0.121756578,-0.12888221,0.057305594,-0.23602335,0.014339891,0.073493778,-0.003163547,0.063317841,0.021691869,0.00568946,0.01123546,-0.007433261,-0.010771541,0.09942835,0.036830863,0.021977676,0.098347971,0.031322205,0.002551746,0.006828969,0.037189992,-0.00578926,0.005841243,0.0283466,-0.015031449,0.087641414,-0.039492176,0.049350516,0.007668276,-0.246208646,0.000128067,-0.000843449,0.000139917,-0.033637936,0.007114848,-0.110181446,0,0,0,0,0,0,1,5.081590562,3.494944753,5.51641328,5.063691497,2.304714254,6.058292419,7.336694109,7.627454652,4.598127357,-1.341157939,5.061150026,-3.205712786,6.426675259,5.871329136,1.63445701,5.68884233,0.701884974,5.704427201,6.990110599,-1.708064559
-0.034464008,-0.1316762,0.267304487,-0.4363404,0.42155126,0.097837906,0.060136843,0.274935627,-0.3153666,0.48245344,0.309724712,0.29581073,0.188927972,-0.15954761,0.7703508,-0.061951403,-0.04859276,0.110239778,-0.21510571,0.19842261,-0.574844959,-0.5641629,0.071307452,-0.7283886,-0.4180288,0.073493778,-0.003163547,0.063317841,0.021691869,0.00568946,0.01123546,-0.007433261,-0.010771541,0.09942835,0.036830863,0.021977676,0.098347971,0.031322205,0.002551746,0.006828969,0.037189992,-0.00578926,0.005841243,0.0283466,-0.015031449,0.087641414,-0.039492176,0.049350516,0.007668276,-0.246208646,0.000128067,-0.000843449,0.000139917,-0.033637936,0.007114848,-0.110181446,0,0,0,0,0,0,1,5.081590562,3.494944753,5.51641328,5.063691497,2.304714254,6.058292419,7.336694109,7.627454652,4.598127357,-1.341157939,5.061150026,-3.205712786,6.426675259,5.871329136,1.63445701,5.68884233,0.701884974,5.704427201,6.990110599,-1.708064559
0.284062825,0.23293775,0.156586226,0.08302416,0.7650949,0.566051327,0.559183,0.178566648,0.21899964,0.9160245,0.967124826,0.9513661,0.335276144,0.32491452,1.6833489,0.446047143,0.40809855,0.145682438,0.22555676,0.7587708,-0.035914413,-0.026692862,0.058627854,-0.15993613,0.060056053,0.073493778,-0.003163547,0.063317841,0.021691869,0.00568946,0.01123546,-0.007433261,-0.010771541,0.09942835,0.036830863,0.021977676,0.098347971,0.031322205,0.002551746,0.006828969,0.037189992,-0.00578926,0.005841243,0.0283466,-0.015031449,0.087641414,-0.039492176,0.049350516,0.007668276,-0.246208646,0.000128067,-0.000843449,0.000139917,-0.033637936,0.007114848,-0.110181446,0,0,0,0,0,0,1,5.081590562,3.494944753,5.51641328,5.063691497,2.304714254,6.058292419,7.336694109,7.627454652,4.598127357,-1.341157939,5.061150026,-3.205712786,6.426675259,5.871329136,1.63445701,5.68884233,0.701884974,5.704427201,6.990110599,-1.708064559
0.336464116,0.29047638,0.118438846,0.15987043,0.5745005,0.310018515,0.28881416,0.254357444,-0.13040805,0.81290025,0.648169414,0.52437985,0.217378741,0.3938225,1.1037481,0.346749317,0.326847,0.109395195,0.17436269,0.5706173,-0.268323736,-0.26324216,0.046333784,-0.35849145,-0.1957807,0.008081686,-0.030364174,-0.013293641,-0.077244762,0.097449618,0.053809909,0.103055054,0.067848937,0.022389955,-0.014085157,-0.047285197,-0.096462485,-0.03341411,-0.005258231,-0.030813558,-0.052723141,0.002200389,-0.011126305,0.022490952,-0.005097485,-0.094945215,-0.251557925,-0.320509873,-0.351025068,-0.098976765,1.76E-05,0.000471206,-5.76E-05,-0.000643962,0.018982483,-0.062167465,0,0,0,0,0,0,1,-1.581722709,-1.130662134,1.783812398,-0.884528839,-0.863951401,2.211583257,2.183733434,1.214829985,-2.137035013,-0.811668588,1.132605877,0.38077319,2.989170557,3.213113845,-2.402376063,2.517130801,1.491823844,3.404579108,3.265234764,2.152978957
-0.026018699,0.003833935,0.138251514,-0.26734647,0.18915375,-0.020566996,-0.025479868,0.293293372,-0.50525403,0.49506816,0.349461151,0.42627823,0.150112963,0.10052364,0.60872513,0.414526808,0.41120228,0.034213464,0.35703465,0.48848668,-0.109788705,-0.098428644,0.081697279,-0.30452192,0.029281883,0.008081686,-0.030364174,-0.013293641,-0.077244762,0.097449618,0.053809909,0.103055054,0.067848937,0.022389955,-0.014085157,-0.047285197,-0.096462485,-0.03341411,-0.005258231,-0.030813558,-0.052723141,0.002200389,-0.011126305,0.022490952,-0.005097485,-0.094945215,-0.251557925,-0.320509873,-0.351025068,-0.098976765,1.76E-05,0.000471206,-5.76E-05,-0.000643962,0.018982483,-0.062167465,0,0,0,0,0,0,1,-1.581722709,-1.130662134,1.783812398,-0.884528839,-0.863951401,2.211583257,2.183733434,1.214829985,-2.137035013,-0.811668588,1.132605877,0.38077319,2.989170557,3.213113845,-2.402376063,2.517130801,1.491823844,3.404579108,3.265234764,2.152978957
0.1079507,-0.08100031,0.44362092,-0.35921577,0.95150024,0.158725988,-0.06398097,0.328649744,-0.18761441,0.79245967,0.31566719,0.26497713,0.153139782,0.046192754,0.6084225,0.000923337,-0.024770226,0.093680199,-0.10373484,0.24118915,-0.408200042,-0.44992915,0.132071921,-0.62570965,-0.19558942,0.008081686,-0.030364174,-0.013293641,-0.077244762,0.097449618,0.053809909,0.103055054,0.067848937,0.022389955,-0.014085157,-0.047285197,-0.096462485,-0.03341411,-0.005258231,-0.030813558,-0.052723141,0.002200389,-0.011126305,0.022490952,-0.005097485,-0.094945215,-0.251557925,-0.320509873,-0.351025068,-0.098976765,1.76E-05,0.000471206,-5.76E-05,-0.000643962,0.018982483,-0.062167465,0,0,0,0,0,0,1,-1.581722709,-1.130662134,1.783812398,-0.884528839,-0.863951401,2.211583257,2.183733434,1.214829985,-2.137035013,-0.811668588,1.132605877,0.38077319,2.989170557,3.213113845,-2.402376063,2.517130801,1.491823844,3.404579108,3.265234764,2.152978957
